X,Y2,Y3,Y4,Y5,Y6,Y7,spline_est_3,spline_est_4,spline_est_5,spline_est_6,spline_est_7
.3333333,.0041853,.0035066,.003529,.0039461,.0000981,.0033191,.0017972,.0022721,.0028458,.0025555,.0019847
.6666667,.0082624,.0069549,.0069475,.0077892,.0003077,.0062705,.0035943,.0045442,.0056916,.005111,.0039694
1,.0122313,.0103439,.0102586,.0115279,.0006557,.0088846,.0053915,.0068162,.0085374,.0076665,.0059541
1.333333,.0160919,.0136723,.0134657,.0151611,.0011633,.0111948,.0071886,.0090883,.0113832,.010222,.0079388
1.666667,.0198442,.0169388,.0165716,.0186876,.0018462,.0132369,.0089858,.0113604,.014229,.0127775,.0099235
2,.0234883,.0201422,.0195792,.0221069,.0027152,.0150479,.010783,.0136325,.0170748,.0153329,.0119082
2.333333,.0270242,.0232814,.0224914,.0254185,.0037763,.0166653,.0125801,.0159046,.0199206,.0178884,.0138929
2.666667,.0304519,.0263551,.0253106,.028622,.0050314,.0181264,.0143773,.0181766,.0227664,.0204439,.0158775
3,.0337712,.029362,.0280394,.0317174,.0064786,.0194677,.0161744,.0204487,.0256122,.0229994,.0178622
3.333333,.0369824,.0323011,.0306802,.0347047,.0081126,.0207242,.0179716,.0227208,.028458,.0255549,.0198469
3.666667,.0400853,.035171,.0332353,.0375842,.0099251,.021929,.0197688,.0249929,.0313038,.0281104,.0218316
4,.04308,.0379706,.0357067,.0403564,.0119049,.023113,.0215659,.0272649,.0341496,.0306659,.0238163
4.333333,.0459664,.0406986,.0380964,.0430218,.0140388,.0243042,.0233631,.029537,.0369954,.0332214,.0258021
4.666667,.0487446,.0433538,.0404064,.0455811,.0163113,.0255277,.0251602,.0318091,.0398412,.0357769,.0277919
5,.0514145,.045935,.0426383,.0480353,.0187053,.0268053,.0269574,.0340812,.042687,.0383324,.0297887
5.333333,.0539762,.048441,.0447938,.0503852,.0212021,.0281556,.0287546,.0363533,.0455328,.0408878,.0317956
5.666667,.0564297,.0508705,.0468744,.052632,.0237823,.0295934,.0305517,.0386253,.0483786,.0434433,.0338158
6,.0587749,.0532224,.0488814,.0547769,.0264252,.0311301,.0323489,.0408974,.0512244,.0459988,.0358522
6.333333,.0610118,.0554954,.0508162,.0568211,.0291097,.0327733,.0341461,.0431687,.0540683,.048553,.0379081
6.666667,.0631406,.0576884,.0526797,.058766,.0318144,.0345272,.0359432,.045434,.0568985,.0510981,.0399864
7,.065161,.0598,.0544731,.0606129,.0345178,.0363923,.0377404,.0476869,.0597002,.053624,.0420903
7.333333,.0670733,.0618292,.0561971,.0623635,.0371983,.0383657,.0395375,.049921,.0624585,.0561207,.0442228
7.666667,.0688773,.0637746,.0578526,.064019,.0398349,.0404412,.0413347,.0521297,.0651584,.0585782,.046387
8,.070573,.065635,.05944,.0655812,.0424068,.0426096,.0431319,.0543066,.0677851,.0609866,.048586
8.333333,.0721605,.0674093,.06096,.0670516,.0448942,.0448586,.044929,.0564452,.0703236,.0633358,.0508229
8.666667,.0736398,.0690962,.0624129,.0684318,.047278,.0471734,.0467238,.0585391,.0727591,.0656159,.0531008
9,.0750109,.0706945,.0637989,.0697233,.04954,.0495366,.0485107,.0605817,.0750767,.0678168,.0554227
9.333333,.0762736,.072203,.0651182,.0709277,.0516633,.0519288,.0502839,.0625666,.0772615,.0699285,.0577918
9.666667,.0774282,.0736205,.0663707,.0720465,.0536321,.0543287,.0520373,.0644874,.0792985,.071941,.0602111
10,.0784745,.0749457,.0675563,.0730814,.0554323,.0567135,.0537652,.0663375,.0811729,.0738443,.0626837
